player,game_num,score,LOSS
Chris,303,3,0.0
Chris,302,5,0.0
Chris,301,6,0.0
Chris,300,4,0.0
Chris,299,4,0.0
Chris,298,3,0.0
Chris,297,4,0.0
Chris,296,5,0.0
Chris,295,4,0.0
Chris,294,3,0.0
Chris,293,4,0.0
Chris,292,4,0.0
Chris,291,5,0.0
Chris,290,5,0.0
Chris,289,5,0.0
Chris,288,5,0.0
Chris,287,2,0.0
Chris,286,4,0.0
Chris,285,4,0.0
Chris,284,5,0.0
Chris,283,4,0.0
Chris,282,x,0.0
Chris,281,5,0.0
Chris,280,4,0.0
Chris,279,2,0.0
Chris,278,3,0.0
Chris,277,5,0.0
Chris,276,5,0.0
Chris,274,5,0.0
Chris,273,6,0.0
Chris,271,3,0.0
Chris,270,x,0.0
Chris,269,4,0.0
Chris,267,4,0.0
Chris,266,3,0.0
Chris,265,5,0.0
Chris,264,5,0.0
Chris,263,5,0.0
Chris,262,4,0.0
Chris,261,4,0.0
Chris,260,2,0.0
Chris,259,3,0.0
Chris,258,5,0.0
Chris,258,5,0.0
Chris,257,3,0.0
Chris,256,5,0.0
Chris,255,4,0.0
Chris,254,3,0.0
Chris,253,4,0.0
Chris,252,6,0.0
Chris,251,5,0.0
Chris,250,4,0.0
Chris,249,5,0.0
Chris,248,5,0.0
Chris,247,4,0.0
Chris,246,5,0.0
Chris,245,4,0.0
Chris,244,5,0.0
Chris,243,5,0.0
Chris,242,4,0.0
Chris,241,4,0.0
Chris,240,4,0.0
Chris,239,3,0.0
Chris,238,5,0.0
